Id,Reputation
4907981,133
376474,2693
2610648,390
2220962,646
2297965,136
7034587,138
8618598,139
2315153,139
4026394,140
556014,910
5383669,2446
1670599,144
2151287,402
3384985,1171
102133,1940
6876405,149
3842322,149
5133585,54165
7438857,152
8305281,152
2620746,2970
3257261,155
3633102,926
5051940,161
348185,417
5043301,929
6733315,418
2744994,164
3783770,2212
1209608,166
148978,9382
691589,167
2782067,167
4257073,679
6542896,3751
5271460,425
1831512,937
79891,6569
3926471,428
2262522,2220
8157187,9390
1020747,177
6263317,690
4574281,1203
1861035,180
341493,181
3276954,693
2081511,183
3286489,7607
848503,1720
247794,185
5120089,697
8309806,186
2700478,442
1899433,187
1183528,190
4360136,191
6653602,447
5958455,14271
8274431,193
8007485,194
1493868,1474
276859,2243
3409515,3012
4290409,453
2847689,965
7550636,198
782013,454
4639832,201
5747368,458
301596,3019
1578940,716
2288944,2508
5356229,1234
195644,4052
5688999,470
3128156,1494
1822879,728
8106520,473
118796,2009
5045662,474
6393522,730
27305,11482
817659,2013
7301846,223
7492420,223
2700303,2015
8398743,224
3998205,480
16916,480
762579,3298
2735286,5092
4220994,997
4751444,232
3005449,2536
1888292,4072
7035151,2282
3682099,495
5339829,751
90011,14064
1191353,1009
809357,21750
5312971,248
396077,9976
1311835,1278
